,ID,Count
0,18288,485.09705629645686
1,18289,387.1328299005063
2,18290,327.6336139039513
3,18291,270.71195015065473
4,18292,227.85906653447466
5,18293,203.97145025999544
6,18294,219.32469623070924
7,18295,254.3587173564697
8,18296,292.90993351650957
9,18297,378.50363326003253
10,18298,537.2429209100706
11,18299,595.6042208661238
12,18300,601.9144825452718
13,18301,532.3464337054861
14,18302,569.2080169569018
15,18303,562.0184565191842
16,18304,547.6738179480067
17,18305,560.4322705233326
18,18306,574.2251922263879
19,18307,609.3109368085351
20,18308,585.5267674468282
21,18309,546.5272813314394
22,18310,548.5100138262537
23,18311,535.5446674253822
24,18312,369.62318484936384
25,18313,294.97863920271607
26,18314,249.64278439339154
27,18315,206.27091402161963
28,18316,173.61885168357963
29,18317,155.41751095963883
30,18318,167.11602695723496
31,18319,193.81045088437114
32,18320,223.18482681994055
33,18321,288.403560868301
34,18322,409.3561007783126
35,18323,453.8249122907913
36,18324,458.6330614823918
37,18325,405.6251871979452
38,18326,433.712135207895
39,18327,428.2339980141864
40,18328,417.30399766606763
41,18329,427.0253922064616
42,18330,437.53500792580655
43,18331,464.26884291189043
44,18332,446.14632430584436
45,18333,416.4303858593965
46,18334,417.9411431190524
47,18335,408.06210434286845
48,18336,364.10327467618066
49,18337,290.5734620976316
50,18338,245.91464773498237
51,18339,203.19048789195529
52,18340,171.02604770118026
53,18341,153.09652370829383
54,18342,164.62033541213037
55,18343,190.916107879503
56,18344,219.85181025993882
57,18345,284.09657522759244
58,18346,403.24282380392134
59,18347,447.04754319469737
60,18348,451.7838880387223
61,18349,399.56762725828463
62,18350,427.2351280138178
63,18351,421.83880069152724
64,18352,411.0720277127605
65,18353,420.6482440640673
66,18354,431.0009103898045
67,18355,457.3355053558988
68,18356,439.4836263604551
69,18357,410.211462324433
70,18358,411.6996581087578
71,18359,401.96815176256507
72,18360,513.4680917341018
73,18361,409.7744004761703
74,18362,346.7953563841037
75,18363,286.5446133907807
76,18364,241.1854670300645
77,18365,215.90077691428388
78,18366,232.15196171984354
79,18367,269.23495725594285
80,18368,310.04085195019417
81,18369,400.6405228847247
82,18370,568.6637216548366
83,18371,630.4382983722072
84,18372,637.1176174500679
85,18373,563.4808620425079
86,18374,602.4983051803924
87,18375,594.888261312994
88,18376,579.7046725895518
89,18377,593.2093067906901
90,18378,607.8089113324614
91,18379,644.9466553855926
92,18380,619.7714623038747
93,18381,578.4910804620163
94,18382,580.5897736148959
95,18383,566.8661453456314
96,18384,507.1309677803639
97,18385,404.71704401977166
98,18386,342.515275118363
99,18387,283.0081351508171
100,18388,238.20880260823483
101,18389,213.2361712512651
102,18390,229.28678707470917
103,18391,265.9121114466773
104,18392,306.21438767488667
105,18393,395.69589498031814
106,18394,561.6453839038966
107,18395,622.6575507341687
108,18396,629.2544349468365
109,18397,556.5264901432477
110,18398,595.062387538557
111,18399,587.5462653618292
112,18400,572.550069555984
113,18401,585.8880321717597
114,18402,600.3074512158415
115,18403,636.9868484092253
116,18404,612.1223626950856
117,18405,571.3514553479439
118,18406,573.4242468355308
119,18407,559.8699929340943
120,18408,522.4217073263143
121,18409,416.9198541478911
122,18410,352.84261104357245
123,18411,291.54124387205457
124,18412,245.3911460059914
125,18413,219.66555333110466
126,18414,236.20011866996205
127,18415,273.9297500776627
128,18416,315.4471988117274
129,18417,407.62670428590604
130,18418,578.5798127360541
131,18419,641.4315855289024
132,18420,648.2273754379669
133,18421,573.3065768503322
134,18422,613.0043878491832
135,18423,605.2616436085281
136,18424,589.8132905912017
